x,y,w,h,crop_std,status,loc_err_px,score,plan_status,n_steps,optimal_steps,goal_reached
241,338,172,95,49.686,ok,0.0,1.0,ok,47,47,True
92,124,75,249,67.215,ok,0.0,0.9999997615814209,ok,6,6,True
152,392,93,117,44.636,ambiguous,,1.0,ambiguous,0,0,
270,273,223,170,62.961,ok,0.0,0.9999996423721313,ok,37,37,True
251,132,226,125,62.167,ok,0.0,0.9999998807907104,ok,24,24,True
238,324,78,120,68.131,ambiguous,,1.0,ambiguous,0,0,
8,126,222,221,81.037,ok,0.0,0.9999996423721313,ok,3,3,True
7,347,198,120,57.947,ok,0.0,1.0,ok,29,29,True
98,375,119,65,42.34,ambiguous,,1.0,ambiguous,0,0,
208,231,100,75,72.735,ambiguous,,1.0,ambiguous,0,0,
360,290,207,124,45.704,ok,0.0,1.0,ok,67,67,True
220,205,254,155,76.836,ok,0.0,0.9999988675117493,ok,25,25,True
227,327,155,130,64.53,ok,0.0,1.0,ok,49,49,True
5,242,170,153,59.001,ambiguous,,1.0,ambiguous,0,0,
410,223,161,86,40.93,ambiguous,,1.0,ambiguous,0,0,
83,37,179,230,82.282,ok,0.0,1.0,already_visible,0,0,True
1,268,137,179,62.373,ambiguous,,1.0,ambiguous,0,0,
268,206,150,228,72.25,ok,0.0,0.9999995827674866,ok,32,32,True
255,268,114,124,71.11,ambiguous,,1.0,ambiguous,0,0,
249,148,210,201,71.186,ok,0.0,0.9999997615814209,ok,17,17,True
204,46,167,187,73.163,ok,0.0,0.9999997019767761,ok,11,11,True
118,277,134,168,43.286,ok,0.0,1.0,ok,25,25,True
292,318,210,128,54.888,ok,0.0,1.0,ok,59,59,True
10,32,119,128,52.232,ok,0.0,0.9999991059303284,ok,13,13,True
40,212,256,101,69.598,ok,0.0,0.9999998807907104,ok,8,8,True
367,17,206,170,50.397,ok,0.0,0.9999980926513672,ok,35,35,True
198,165,104,176,95.179,ok,0.0,0.9999998211860657,ok,3,3,True
52,112,179,157,82.413,ok,0.0,1.0,ok,2,2,True
103,277,210,104,66.965,ok,0.0,1.0,ok,20,20,True
208,226,150,71,63.182,ambiguous,,1.0,ambiguous,0,0,
475,168,77,251,50.18,ambiguous,,1.0,ambiguous,0,0,
106,354,256,116,45.159,ok,0.0,0.9999998211860657,ok,31,31,True
229,140,253,255,70.057,ok,0.0,1.0,ok,11,11,True
403,218,188,247,52.167,ok,0.0,1.0,ok,41,41,True
115,175,131,127,69.357,ok,0.0,0.9999999403953552,ok,10,10,True
478,244,94,144,46.707,ambiguous,,1.0,ambiguous,0,0,
419,166,61,107,0.0,featureless,,,featureless,0,0,
